07/07 - 04:23:40  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
07/07 - 04:23:40 127.0.0.1 - - [07/Jul/2017 16:23:40] "GET /stream HTTP/1.1" 200 -
07/07 - 04:23:41 127.0.0.1 - - [07/Jul/2017 16:23:41] "GET /stream HTTP/1.1" 200 -
07/07 - 04:23:41 127.0.0.1 - - [07/Jul/2017 16:23:41] "GET /pipeline HTTP/1.1" 200 -
07/07 - 04:23:43 127.0.0.1 - - [07/Jul/2017 16:23:43] "GET /stream HTTP/1.1" 200 -
07/07 - 04:23:44 127.0.0.1 - - [07/Jul/2017 16:23:44] "GET /stream HTTP/1.1" 200 -
07/07 - 04:23:45 127.0.0.1 - - [07/Jul/2017 16:23:45] "GET /stream HTTP/1.1" 200 -
07/07 - 04:23:46 127.0.0.1 - - [07/Jul/2017 16:23:46] "GET /stream HTTP/1.1" 200 -
07/07 - 04:23:47 127.0.0.1 - - [07/Jul/2017 16:23:47] "GET /stream HTTP/1.1" 200 -
07/07 - 04:23:48 127.0.0.1 - - [07/Jul/2017 16:23:48] "GET /stream HTTP/1.1" 200 -
07/07 - 04:23:49 127.0.0.1 - - [07/Jul/2017 16:23:49] "GET /stream HTTP/1.1" 200 -
07/07 - 04:23:50 127.0.0.1 - - [07/Jul/2017 16:23:50] "GET /stream HTTP/1.1" 200 -
07/07 - 04:23:51 127.0.0.1 - - [07/Jul/2017 16:23:51] "GET /stream HTTP/1.1" 200 -
07/07 - 04:23:52 127.0.0.1 - - [07/Jul/2017 16:23:52] "GET /stream HTTP/1.1" 200 -
07/07 - 04:23:53 127.0.0.1 - - [07/Jul/2017 16:23:53] "GET /stream HTTP/1.1" 200 -
07/07 - 04:23:54 127.0.0.1 - - [07/Jul/2017 16:23:54] "GET /stream HTTP/1.1" 200 -
07/07 - 04:23:55 127.0.0.1 - - [07/Jul/2017 16:23:55] "GET /stream HTTP/1.1" 200 -
07/07 - 04:23:56 127.0.0.1 - - [07/Jul/2017 16:23:56] "GET /stream HTTP/1.1" 200 -
07/07 - 04:23:57 127.0.0.1 - - [07/Jul/2017 16:23:57] "GET /stream HTTP/1.1" 200 -
07/07 - 04:23:58 127.0.0.1 - - [07/Jul/2017 16:23:58] "GET /stream HTTP/1.1" 200 -
07/07 - 04:23:59 127.0.0.1 - - [07/Jul/2017 16:23:59] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:00 127.0.0.1 - - [07/Jul/2017 16:24:00] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:01 127.0.0.1 - - [07/Jul/2017 16:24:01] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:02 127.0.0.1 - - [07/Jul/2017 16:24:02] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:03 127.0.0.1 - - [07/Jul/2017 16:24:03] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:04 127.0.0.1 - - [07/Jul/2017 16:24:04] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:05 127.0.0.1 - - [07/Jul/2017 16:24:05] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:06 127.0.0.1 - - [07/Jul/2017 16:24:06] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:07 127.0.0.1 - - [07/Jul/2017 16:24:07] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:08 127.0.0.1 - - [07/Jul/2017 16:24:08] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:09 127.0.0.1 - - [07/Jul/2017 16:24:09] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:10 127.0.0.1 - - [07/Jul/2017 16:24:10] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:11 127.0.0.1 - - [07/Jul/2017 16:24:11] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:11 127.0.0.1 - - [07/Jul/2017 16:24:11] "GET / HTTP/1.1" 302 -
07/07 - 04:24:12 127.0.0.1 - - [07/Jul/2017 16:24:12] "GET /pipeline HTTP/1.1" 200 -
07/07 - 04:24:13 127.0.0.1 - - [07/Jul/2017 16:24:13] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:14 127.0.0.1 - - [07/Jul/2017 16:24:14] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:15 127.0.0.1 - - [07/Jul/2017 16:24:15] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:16 127.0.0.1 - - [07/Jul/2017 16:24:16] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:17 127.0.0.1 - - [07/Jul/2017 16:24:17] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:18 127.0.0.1 - - [07/Jul/2017 16:24:18] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:19 127.0.0.1 - - [07/Jul/2017 16:24:19] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:20 127.0.0.1 - - [07/Jul/2017 16:24:20] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:21 127.0.0.1 - - [07/Jul/2017 16:24:21] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:22 127.0.0.1 - - [07/Jul/2017 16:24:22] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:23 127.0.0.1 - - [07/Jul/2017 16:24:23] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:24 127.0.0.1 - - [07/Jul/2017 16:24:24] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:25 127.0.0.1 - - [07/Jul/2017 16:24:25] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:26 127.0.0.1 - - [07/Jul/2017 16:24:26] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:27 127.0.0.1 - - [07/Jul/2017 16:24:27] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:28 127.0.0.1 - - [07/Jul/2017 16:24:28] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:29 127.0.0.1 - - [07/Jul/2017 16:24:29] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:30 127.0.0.1 - - [07/Jul/2017 16:24:30] "GET /stream HTTP/1.1" 200 -
07/07 - 04:24:31 127.0.0.1 - - [07/Jul/2017 16:24:31] "GET /stream HTTP/1.1" 200 -
